2026-06-01 12:42:46.421 [info] Reading sessions from keychain...
2026-06-01 13:04:21.858 [info] Getting sessions for all scopes...
2026-06-01 13:04:21.858 [info] Got 1 sessions for ...
2026-06-01 13:08:07.844 [info] Getting sessions for all scopes...
2026-06-01 13:08:07.844 [info] Got 1 sessions for ...
2026-06-01 13:08:07.845 [info] Getting sessions for all scopes...
2026-06-01 13:08:07.845 [info] Got 1 sessions for ...
2026-06-01 13:09:34.947 [info] Getting sessions for all scopes...
2026-06-01 13:09:34.947 [info] Got 1 sessions for ...
2026-06-01 13:09:34.950 [info] Getting sessions for all scopes...
2026-06-01 13:09:34.950 [info] Got 1 sessions for ...
2026-06-01 13:09:39.959 [info] Getting sessions for all scopes...
2026-06-01 13:09:39.959 [info] Got 1 sessions for ...
2026-06-01 13:09:39.960 [info] Getting sessions for all scopes...
2026-06-01 13:09:39.968 [info] Got 1 sessions for ...
2026-06-01 13:10:40.325 [info] Getting sessions for all scopes...
2026-06-01 13:10:40.325 [info] Got 1 sessions for ...
2026-06-01 13:10:40.328 [info] Getting sessions for all scopes...
2026-06-01 13:10:40.328 [info] Got 1 sessions for ...
2026-06-01 13:14:32.367 [info] Getting sessions for all scopes...
2026-06-01 13:14:32.367 [info] Got 1 sessions for ...
2026-06-01 13:14:32.368 [info] Getting sessions for all scopes...
2026-06-01 13:14:32.368 [info] Got 1 sessions for ...
2026-06-01 13:15:50.076 [info] Getting sessions for all scopes...
2026-06-01 13:15:50.077 [info] Got 1 sessions for ...
2026-06-01 13:15:50.077 [info] Getting sessions for all scopes...
2026-06-01 13:15:50.077 [info] Got 1 sessions for ...
2026-06-01 13:18:46.891 [info] Getting sessions for all scopes...
2026-06-01 13:18:46.891 [info] Got 1 sessions for ...
2026-06-01 13:18:46.892 [info] Getting sessions for all scopes...
2026-06-01 13:18:46.892 [info] Got 1 sessions for ...
2026-06-01 13:18:54.921 [info] Getting sessions for all scopes...
2026-06-01 13:18:54.921 [info] Got 1 sessions for ...
2026-06-01 13:18:54.922 [info] Getting sessions for all scopes...
2026-06-01 13:18:54.922 [info] Got 1 sessions for ...
2026-06-01 13:18:55.746 [info] Getting sessions for all scopes...
2026-06-01 13:18:55.746 [info] Got 1 sessions for ...
2026-06-01 13:18:55.747 [info] Getting sessions for all scopes...
2026-06-01 13:18:55.747 [info] Got 1 sessions for ...
2026-06-01 13:19:03.472 [info] Reading sessions from keychain...
2026-06-01 13:19:03.472 [info] Getting sessions for all scopes...
2026-06-01 13:19:03.472 [info] Got stored sessions!
2026-06-01 13:19:03.472 [info] Got 1 verified sessions.
2026-06-01 13:19:03.472 [info] Got 1 sessions for ...
2026-06-01 13:19:03.472 [info] Getting sessions for all scopes...
2026-06-01 13:19:03.472 [info] Got 1 sessions for ...
2026-06-01 13:19:03.472 [info] Getting sessions for all scopes...
2026-06-01 13:19:03.472 [info] Got 1 sessions for ...
2026-06-01 13:19:03.472 [info] Getting sessions for all scopes...
2026-06-01 13:19:03.472 [info] Got 1 sessions for ...
2026-06-01 13:19:03.499 [info] Getting sessions for all scopes...
2026-06-01 13:19:03.500 [info] Got 1 sessions for ...
2026-06-01 13:19:05.204 [info] Getting sessions for all scopes...
2026-06-01 13:19:05.204 [info] Got 1 sessions for ...
2026-06-01 13:19:06.127 [info] FetcherService: Node fetch failed with status: 429 Too Many Requests
2026-06-01 13:19:06.131 [info] Unable to resolve optional EDU details. Status: 429 Too Many Requests
2026-06-01 13:25:46.298 [info] Getting sessions for all scopes...
2026-06-01 13:25:46.298 [info] Got 1 sessions for ...
2026-06-01 13:25:46.299 [info] Getting sessions for all scopes...
2026-06-01 13:25:46.299 [info] Got 1 sessions for ...
2026-06-01 13:25:47.149 [info] Getting sessions for all scopes...
2026-06-01 13:25:47.149 [info] Got 1 sessions for ...
2026-06-01 13:25:47.150 [info] Getting sessions for all scopes...
2026-06-01 13:25:47.150 [info] Got 1 sessions for ...
2026-06-01 13:30:08.228 [info] Getting sessions for all scopes...
2026-06-01 13:30:08.228 [info] Got 1 sessions for ...
2026-06-01 13:30:08.229 [info] Getting sessions for all scopes...
2026-06-01 13:30:08.229 [info] Got 1 sessions for ...
2026-06-01 13:38:10.209 [info] Getting sessions for all scopes...
2026-06-01 13:38:10.209 [info] Got 1 sessions for ...
2026-06-01 13:38:10.210 [info] Getting sessions for all scopes...
2026-06-01 13:38:10.210 [info] Got 1 sessions for ...
2026-06-01 13:44:20.941 [info] Getting sessions for all scopes...
2026-06-01 13:44:20.941 [info] Got 1 sessions for ...
2026-06-01 13:44:20.942 [info] Getting sessions for all scopes...
2026-06-01 13:44:20.942 [info] Got 1 sessions for ...
